subject_id,title,url,pub_info,tag,scraped
37136205,法比安,https://book.douban.com/subject/37136205/,[德] 埃里希·凯斯特纳 / 李晓艳 / 北京联合出版公司 / 2025-1 / 52.00元,小说,False
34996429,消失的13级台阶,https://book.douban.com/subject/34996429/,[日] 高野和明 / 赵建勋 / 上海文艺出版社 / 2020-5-15 / 42.00元,小说,False
35430425,流俗地,https://book.douban.com/subject/35430425/,[马来西亚] 黎紫书 / 北京十月文艺出版社 / 2021-4-1 / 55.00元,小说,False
27614904,房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 / 北京联合出版公司 / 2018-2 / 45.00元,小说,False
24531956,哈利·波特,https://book.douban.com/subject/24531956/,J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 / 人民文学出版社 / 2008-12-1 / 498.00元,小说,False
25887924,卡拉马佐夫兄弟,https://book.douban.com/subject/25887924/,陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德 / 上海译文出版社 / 2015-2-1 / CNY 78.00,小说,False
36109174,你的夏天还好吗？,https://book.douban.com/subject/36109174/,[韩国] 金爱烂 / 薛舟 / 人民文学出版社 / 2022-10-15 / 48.00元,小说,False
3633461,一句顶一万句,https://book.douban.com/subject/3633461/,刘震云 / 长江文艺出版社 / 2009-3 / 29.80,小说,False
36668331,无条件投降博物馆,https://book.douban.com/subject/36668331/,[荷]杜布拉夫卡·乌格雷西奇 / 何静芝 / 云南人民出版社 / 2024-1-1 / 64.00元,小说,False
26878124,我的天才女友: 那不勒斯四部曲1,https://book.douban.com/subject/26878124/,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-1 / 42.00元,小说,False
26879778,杀死一只知更鸟,https://book.douban.com/subject/26879778/,[美] 哈珀·李 / 李育超 / 译林出版社 / 2017-2 / 58.00,小说,False
26986954,新名字的故事: 那不勒斯四部曲2,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,小说,False
36504167,涅朵奇卡: 一个女人的一生,https://book.douban.com/subject/36504167/,陀思妥耶夫斯基 / 于大卫 / 山东文艺出版社 / 2023-9 / 45.00元,小说,False
1054917,沧浪之水,https://book.douban.com/subject/1054917/,阎真 / 人民文学出版社 / 2001-10 / 26.00元,小说,False
36953534,死神广播,https://book.douban.com/subject/36953534/,[日] 白井智之 / 佳辰 / 江苏凤凰文艺出版社 / 2024-8 / 59.00元,小说,False
37156691,海昏,https://book.douban.com/subject/37156691/,雷克斯 / 太白文艺出版社 / 2025-2 / 69.80,小说,False
36721763,暗处的女儿,https://book.douban.com/subject/36721763/,[意大利] 埃莱娜·费兰特 / 陈英、王彦丁、黄语瞳 / 人民文学出版社 / 2024-4 / 45.00,外国文学,False
35534519,素食者,https://book.douban.com/subject/35534519/,[韩] 韩江 / 胡椒筒 / 四川文艺出版社 / 2021-9 / 48,外国文学,False
6082808,百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,外国文学,False
26980487,悉达多: 一首印度的诗,https://book.douban.com/subject/26980487/,[德] 赫尔曼·黑塞 / 姜乙 / 天津人民出版社 / 2017-1 / 32.00元,外国文学,False
30331835,窄门,https://book.douban.com/subject/30331835/,[法] 安德烈·纪德 / 顾琪静 / 天津人民出版社 / 2018-10 / 45.00,外国文学,False
37113259,纽约客故事集,https://book.douban.com/subject/37113259/,[美] 安·比蒂 / 周玮 / 北京联合出版公司 / 2025-1 / 100.00元,外国文学,False
37023820,乔瓦尼的房间,https://book.douban.com/subject/37023820/,[美] 詹姆斯·鲍德温 / 李佳纯 / 上海译文出版社 / 2024-9 / 58.00元,外国文学,False
25887924,卡拉马佐夫兄弟,https://book.douban.com/subject/25887924/,陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德 / 上海译文出版社 / 2015-2-1 / CNY 78.00,外国文学,False
36457094,明亮的夜晚,https://book.douban.com/subject/36457094/,[韩]崔恩荣 / 叶蕾 / 台海出版社 / 2023-8 / 52,外国文学,False
37032204,无暇他顾,https://book.douban.com/subject/37032204/,[美] 厄休拉·勒古恩 / 姚瑶 / 北京联合出版公司 / 2024-11 / 58,外国文学,False
36743030,恶女的告白,https://book.douban.com/subject/36743030/,[日] 叶真中显 / 吴曦 / 中国友谊出版公司 / 2024-9 / 55.00元,外国文学,False
33440205,你当像鸟飞往你的山,https://book.douban.com/subject/33440205/,塔拉·韦斯特弗 / 任爱红 / 南海出版公司 / 2019-10 / 59.00元,外国文学,False
36701790,仿生人会梦见电子羊吗?,https://book.douban.com/subject/36701790/,[美] 菲利普·迪克 / 姚向辉 / 江苏凤凰文艺出版社 / 2024-10-15 / 59.90元,外国文学,False
36987849,你杀了谁,https://book.douban.com/subject/36987849/,[日] 东野圭吾 / 苏玖龄 / 南海出版公司 / 2025-1 / 59.00元,外国文学,False
36692820,事件,https://book.douban.com/subject/36692820/,[法] 安妮·埃尔诺 / 甘露 / 上海人民出版社 / 2024-9-10 / 36.00,外国文学,False
36668331,无条件投降博物馆,https://book.douban.com/subject/36668331/,[荷]杜布拉夫卡·乌格雷西奇 / 何静芝 / 云南人民出版社 / 2024-1-1 / 64.00元,外国文学,False
37036115,长岛,https://book.douban.com/subject/37036115/,[爱尔兰] 科尔姆·托宾 / 柏栎 / 上海译文出版社 / 2025-1 / 72元,外国文学,False
36831351,献灯使,https://book.douban.com/subject/36831351/,[日本] 多和田叶子 / 蕾克 / 广西师范大学出版社 / 2025-1 / 65.00元,外国文学,False
37136205,法比安,https://book.douban.com/subject/37136205/,[德] 埃里希·凯斯特纳 / 李晓艳 / 北京联合出版公司 / 2025-1 / 52.00元,外国文学,False
36848782,雅各布之书,https://book.douban.com/subject/36848782/,奥尔加·托卡尔丘克 / 乌兰、李江颐、李佳 / 浙江文艺出版社 / 2024-10 / 168.00元,外国文学,False
26879778,杀死一只知更鸟,https://book.douban.com/subject/26879778/,[美] 哈珀·李 / 李育超 / 译林出版社 / 2017-2 / 58.00,外国文学,False
